"LEVEES
DE FONDS",DATE,"LIEN VERS
ANNUAIRE","LIEN VERS SITE
INTERNET"
"ANATOLE lève 1,2 million d’euros auprès de CALLIODE",01/12/2011,ANATOLE,ANATOLE
"AUGURE lève 5,8 millions d’euros auprès d’investisseurs",01/12/2011,AUGURE,AUGURE
BALUMPA lève 200 000 euros auprès de OSEO,01/12/2011,BALUMPA,BALUMPA
"EFFICITY lève 2 millions d’euros auprès de SEVENTURE, CM CIC",01/12/2011,EFFICITY,EFFICITY
"ENVIE DE FRAISES lève 1,4 million d’euros auprès de AMUNDI PRIVATE EQUITY",01/12/2011,ENVIE DE FRAISES,ENVIE DE FRAISES
"HEYCROWD lève 150 000 euros auprès de BUSINESS ANGELS, KIMA VENTURES",01/12/2011,HEYCROWD,HEYCROWD
MAILJET lève 180 000 euros auprès de EFOUNDERS,01/12/2011,MAILJET,MAILJET
"OOGARDEN lève 2,1 millions d’euros auprès d’investisseurs",01/12/2011,OOGARDEN,OOGARDEN
SANTIANE lève 5 millions d’euros auprès de BNP PARIBAS,01/12/2011,SANTIANE,SANTIANE
"SHOPMIUM lève 1,6 million d’euros auprès de ACCEL, ISAI",01/12/2011,SHOPMIUM,SHOPMIUM
VIS MA VILLE lève 500 000 euros auprès de GENERIS CAPITAL,01/12/2011,VIS MA VILLE,VIS MA VILLE
WIKTIK lève 420 000 euros auprès de PACA INVESTISSEMENT,01/12/2011,WIKTIK,WIKTIK
ON AIR lève 200 000 euros auprès de PARIS BUSINESS ANGELS,01/11/2011,ON AIR,ON AIR
"ADFONIC lève 5,2 millions d’euros auprès d’investisseurs",01/11/2011,ADFONIC,ADFONIC
1855.COM lève 5 millions d’euros auprès d’investisseurs,01/11/2011,1855.COM,1855.COM
3DDUO lève 500 000 euros auprès de FINORPA,01/11/2011,3DDUO,3DDUO
"A LITTLE MARKET lève 1,6 million d’euros auprès de BUSINESS ANGELS, XANGE",01/11/2011,A LITTLE MARKET,A LITTLE MARKET
"ARTILINKI lève 300 000 euros auprès de BUSINESS ANGELS, BEAUJOLAIS BUSINESS ANGELS",01/11/2011,ARTILINKI,ARTILINKI
BIME ANALYTICS lève des fonds auprès de THE BULB,01/11/2011,BIME ANALYTICS,BIME ANALYTICS
"BON-PRIVE lève 1 million d’euros auprès de BUSINESS ANGELS, ACTIONNAIRES HISTORIQUES",01/11/2011,BON-PRIVE,BON-PRIVE
BRANDS ON AIR lève 200 000 euros auprès de PARIS BUSINESS ANGELS,01/11/2011,BRANDS ON AIR,BRANDS ON AIR
DILITRUST lève 500 000 euros auprès d’investisseurs,01/11/2011,DILITRUST,DILITRUST
ELTEG lève 720 000 euros auprès de BUSINESS ANGELS,01/11/2011,ELTEG,ELTEG
J’AIME ATTENDRE lève 200 000 euros auprès de BUSINESS ANGELS,01/11/2011,J’AIME ATTENDRE,J’AIME ATTENDRE
"MOTWIN lève 4 millions d’euros auprès de CREDIT AGRICOLE, SEVENTURE, NAXICAP",01/11/2011,MOTWIN,MOTWIN
QUOI.INFO lève 400 000 euros auprès d’investisseurs,01/11/2011,QUOI.INFO,QUOI.INFO
TRIPATTITUDE lève 220 000 euros auprès de BUSINESS ANGELS,01/11/2011,TRIPATTITUDE,TRIPATTITUDE
YOUSEEMII lève 300 000 euros auprès de BUSINESS ANGELS,01/11/2011,YOUSEEMII,YOUSEEMII
MYWITTYGAMES lève 200 000 euros auprès de BUSINESS ANGELS,01/10/2011,MYWITTYGAMES,MYWITTYGAMES
"ALL IN WEB lève 600 000 euros auprès de ESSEC BUSINESS ANGELS, IT ANGELS, PARIS BUSINESS ANGELS",01/10/2011,ALL IN WEB,ALL IN WEB
AUTOMODEAL lève 300 000 euros auprès de BUSINESS ANGELS,01/10/2011,AUTOMODEAL,AUTOMODEAL
BANKEEZ lève 320 000 euros auprès de BUSINESS ANGELS,01/10/2011,BANKEEZ,BANKEEZ
BEDYCASA lève 500 000 euros auprès d’investisseurs,01/10/2011,BEDYCASA,BEDYCASA
CAVISSIMA lève 250 000 euros auprès de BUSINESS ANGELS,01/10/2011,CAVISSIMA,CAVISSIMA
DRIVY – VOITURELIB lève des fonds auprès de BUSINESS ANGELS,01/10/2011,DRIVY – VOITURELIB,DRIVY – VOITURELIB
FILEDANSTACHAMBRE lève 800 000 euros auprès de SOFIMAC,01/10/2011,FILEDANSTACHAMBRE,FILEDANSTACHAMBRE
FOURMISANTE lève 150 000 euros auprès de BUSINESS ANGELS,01/10/2011,FOURMISANTE,FOURMISANTE
"GRAINE DE CADEAUX lève des fonds auprès de BUSINESS ANGELS, KIMA VENTURES",01/10/2011,GRAINE DE CADEAUX,GRAINE DE CADEAUX
JOLIEBOX lève 1 million d’euros auprès de ALVEN,01/10/2011,JOLIEBOX,JOLIEBOX
"LE NEW BLACK lève 420 000 euros auprès de BUSINESS ANGELS, XMP BUSINESS ANGELS, PARIS BUSINESS ANGELS",01/10/2011,LE NEW BLACK,LE NEW BLACK
MANABEY lève 250 000 euros auprès de BUSINESS ANGELS,01/10/2011,MANABEY,MANABEY
MEILLEURES-ENTREPRISES lève 300 000 euros auprès de BUSINESS ANGELS,01/10/2011,MEILLEURES-ENTREPRISES,MEILLEURES-ENTREPRISES
MOXITY lève 150 000 euros auprès d’investisseurs,01/10/2011,MOXITY,MOXITY
POELEABOIS.COM lève 110 000 euros auprès de BUSINESS ANGELS,01/10/2011,POELEABOIS.COM,POELEABOIS.COM
"PRET D’UNION lève 4,825 millions d’euros auprès de OSEO, KIMA VENTURES",01/10/2011,PRET D’UNION,PRET D’UNION
"RESTO IN lève 1,6 million d’euros auprès de NEXTSTAGE",01/10/2011,RESTO IN,RESTO IN
"TIKI LABS lève 470 000 euros auprès de BUSINESS ANGELS, ACTIONNAIRES HISTORIQUES",01/10/2011,TIKI LABS,TIKI LABS
"VESTIAIRE DE COPINES lève 7,5 millions d’euros auprès de BALDERTON CAPITAL, VENTECH",01/10/2011,VESTIAIRE DE COPINES,
"WEXPAY lève 6,38 millions d’euros auprès d’investisseurs",01/10/2011,WEXPAY,WEXPAY
WIZEE lève 300 000 euros auprès de BUSINESS ANGELS,01/10/2011,WIZEE,WIZEE
"WIZBII lève 318 000 euros auprès de BUSINESS ANGELS, GRENOBLE ANGELS, BPIFRANCE",01/09/2011,WIZBII,WIZBII
"SYNTHESIO lève 1,8 million d’euros auprès d’investisseurs",01/09/2011,SYNTHESIO,SYNTHESIO
"BONITASOFT lève 10,35 millions d’euros auprès de FSN PME, AURIGASERENA, VENTECH",01/09/2011,BONITASOFT,BONITASOFT
ADMOOVE lève 200 000 euros auprès d’investisseurs,01/09/2011,ADMOOVE,ADMOOVE
ADVERLINE lève 2 millions d’euros auprès de OTC ASSET MANAGEMENT,01/09/2011,ADVERLINE,ADVERLINE
ARAN PROD lève 2 millions d’euros auprès de SEVENTURE,01/09/2011,ARAN PROD,
"AS4SCREEN lève 4,5 millions d’euros auprès de BUSINESS ANGELS",01/09/2011,AS4SCREEN,
"CAMPING-AND-CO.COM lève 1,6 million d’euros auprès d’investisseurs",01/09/2011,CAMPING-AND-CO.COM,CAMPING-AND-CO.COM
"DASHLANE lève 3,8 millions d’euros auprès d’investisseurs",01/09/2011,DASHLANE,DASHLANE
DEVISPROX lève 2 millions d’euros auprès de CM CIC,01/09/2011,DEVISPROX,DEVISPROX
FREETOUCH lève 1 million d’euros auprès d’investisseurs,01/09/2011,FREETOUCH,FREETOUCH
GOSIS lève 500 000 euros auprès d’investisseurs,01/09/2011,GOSIS,GOSIS
KEYADE lève des fonds auprès de JAINA,01/09/2011,KEYADE,KEYADE
KRDS lève des fonds auprès de AXA PRIVATE EQUITY,01/09/2011,KRDS,KRDS
"L’USINE A DESIGN lève 4 millions d’euros auprès de CREDIT AGRICOLE, CM CIC",01/09/2011,L’USINE A DESIGN,L’USINE A DESIGN
"NEWSRING lève 3,5 millions d’euros auprès de XANGE, VENTECH, IDINVEST",01/09/2011,NEWSRING,NEWSRING
"PHARNEXT lève 2,5 millions d’euros auprès d’investisseurs",01/09/2011,PHARNEXT,PHARNEXT
PRESTASHOP lève 3 millions d’euros auprès de SERENA,01/09/2011,PRESTASHOP,PRESTASHOP
"SCAN & TARGET lève 1,5 million d’euros auprès de TRUFFLE",01/09/2011,SCAN & TARGET,SCAN & TARGET
"SNOWITE lève 1,1 million d’euros auprès de SIGMA",01/09/2011,SNOWITE,SNOWITE
"SOFACTORY lève des fonds auprès de BUSINESS ANGELS, SEVENTURE",01/09/2011,SOFACTORY,SOFACTORY
"STICKYADS.TV lève 1,2 million d’euros auprès de ISAI",01/09/2011,STICKYADS.TV,STICKYADS.TV
VENTES RESPONSABLES lève 250 000 euros auprès de GENERIS CAPITALSIGMA,01/09/2011,VENTES RESPONSABLES,VENTES RESPONSABLES
VIDEDRESSING lève 700 000 euros auprès de BUSINESS ANGELS,01/09/2011,VIDEDRESSING,VIDEDRESSING
123PRESTA lève 300 000 euros auprès de BUSINESS ANGELS,aout 2011,123PRESTA,123PRESTA
ADLOOX lève 265 000 euros auprès de BUSINESS ANGELS,aout 2011,ADLOOX,ADLOOX
"BALINEA lève 1,5 million d’euros auprès d’investisseurs",aout 2011,BALINEA,BALINEA
EDJING lève des fonds auprès de BUSINESS ANGELS,aout 2011,EDJING,EDJING
REVISERSAVOITURE lève 800 000 euros auprès d’investisseurs,aout 2011,REVISERSAVOITURE,
"TEADS – WIKIO lève 17,3 millions d’euros auprès de BUSINESS ANGELS",aout 2011,TEADS – WIKIO,TEADS – WIKIO
"WEEKENDESK lève 1,7 million d’euros auprès d’investisseurs",aout 2011,WEEKENDESK,WEEKENDESK
PATHOQUEST lève 2 millions d’euros auprès de KURMA LIFE SCIENCE PARTNERS,01/07/2011,PATHOQUEST,PATHOQUEST
"ATTRACTIVE WORLD lève 2,7 millions d’euros auprès d’investisseurs",01/07/2011,ATTRACTIVE WORLD,ATTRACTIVE WORLD
BRAND MINISTRY lève 350 000 euros auprès d’investisseurs,01/07/2011,BRAND MINISTRY,BRAND MINISTRY
CHACUNSONCAFE lève 900 000 euros auprès de CROWDFUNDING,01/07/2011,CHACUNSONCAFE,CHACUNSONCAFE
"EXPONAUTE lève 560 000 euros auprès de BUSINESS ANGELS, FA DIESE",01/07/2011,EXPONAUTE,EXPONAUTE
"LENGOW lève 1,2 million d’euros auprès de ALVEN",01/07/2011,LENGOW,LENGOW
"LOOKINGO lève 2,4 millions d’euros auprès de NAXICAP",01/07/2011,LOOKINGO,LOOKINGO
MINUTEBUZZ lève 300 000 euros auprès de BUSINESS ANGELS,01/07/2011,MINUTEBUZZ,MINUTEBUZZ
PAYSANS.FR lève 100 000 euros auprès de CROWDFUNDING,01/07/2011,PAYSANS.FR,PAYSANS.FR
"UP & NET lève 3 millions d’euros auprès de CAPDECISIF MANAGEMENT, CM CIC",01/07/2011,UP & NET,UP & NET
"LEADMEDIA GROUP lève 12,5 millions d’euros auprès de TRUFFLE",01/06/2011,LEADMEDIA GROUP,LEADMEDIA GROUP
LILY LISTE lève des fonds auprès d’investisseurs,01/06/2011,LILY LISTE,LILY LISTE
"LIMONETIK lève 5,1 millions d’euros auprès de BUSINESS ANGELS, ORKOS, NEWFUND",01/06/2011,LIMONETIK,LIMONETIK
ACHETER-LOUER.FR lève 940 000 euros auprès d’investisseurs,01/06/2011,ACHETER-LOUER.FR,ACHETER-LOUER.FR
ADYOULIKE lève des fonds auprès de KIMA VENTURES,01/06/2011,ADYOULIKE,ADYOULIKE
"ANTIDOT lève 3,15 millions d’euros auprès d’investisseurs",01/06/2011,ANTIDOT,ANTIDOT
"ANTVOICE lève 750 000 euros auprès de NESTADIO, ALVEN",01/06/2011,ANTVOICE,ANTVOICE
"APPSFIRE lève 2,5 millions d’euros auprès d’investisseurs",01/06/2011,APPSFIRE,APPSFIRE
CALLRESTO lève 100 000 euros auprès de BUSINESS ANGELS,01/06/2011,CALLRESTO,CALLRESTO
CLOUDY lève 25 000 euros auprès d’investisseurs,01/06/2011,CLOUDY,CLOUDY
COEUR DE CHEF lève 400 000 euros auprès d’investisseurs,01/06/2011,COEUR DE CHEF,
CORTUS lève des fonds auprès d’investisseurs,01/06/2011,CORTUS,CORTUS
CYTOO lève 9 millions d’euros auprès d’investisseurs,01/06/2011,CYTOO,CYTOO
DREAMZER GAMES lève 110 000 euros auprès de BUSINESS ANGELS,01/06/2011,DREAMZER GAMES,DREAMZER GAMES
EDUPAD lève 200 000 euros auprès d’investisseurs,01/06/2011,EDUPAD,EDUPAD
