ANATOLE;http://www.anatole.net/;None;['sales@anatole.net', 'sales@anatole.net', 'sales@anatole.net', 'sales@anatole.net', 'sales@anatole.net', 'sales@anatole.net']
AUGURE;http://www.augure.com/;01 70 98 24 00;[]
BALUMPA;https://play.google.com/store/apps/details?id=com.balumpa.android&hl=fr;None;['feedback@balumpa.com', 'feedback@balumpa.com', 'feedback@balumpa.com']
EFFICITY;http://www.efficity.com/;None;['serviceclient@efficity.com', 'serviceclient@efficity.com']
ENVIE DE FRAISES;http://www.enviedefraise.fr/;01 75 43 82 30;[]
HEYCROWD;http://heycrowd.com/;None;[]
MAILJET;https://fr.mailjet.com/;None;['contact@mailjet.com']
OOGARDEN;http://www.oogarden.com/;0 890 71 00 42;[]
SANTIANE;http://www.santiane.fr/;None;[]
SHOPMIUM;https://www.shopmium.com/fr/;None;[]
VIS MA VILLE;http://www.vis-ma-ville.com/;None;['info@vis-ma-ville.com', 'info@vis-ma-ville.com', 'support@vis-ma-ville.com', 'support@vis-ma-ville.com', 'commercial@vis-ma-ville.com', 'commercial@vis-ma-ville.com']
WIKTIK;http://www.commentcamarche.net/forum/affich-29720005-le-site-wiktik-est-il-mort;None;['alexandra.alazet@wiktik.com']
ON AIR;https://www.onair-alert.com/;None;[]
ADFONIC;http://www.mobyaffiliates.com/mobile-advertising-networks/adfonic/;None;[]
1855.COM;http://www.crus-classes.com/;None;[]
3DDUO;http://www.3dduo.com/;03 62 10 90 31;['contact@3dduo.com', 'contact@3dduo.com']
A LITTLE MARKET;https://www.alittlemarket.com/;01 43 06 27 40;[]
ARTILINKI;http://artilinki.com/;09 72 47 32 69;['team@artilinki.com', 'team@artilinki.com', 'team@artilinki.com', 'team@artilinki.com', 'team@artilinki.com']
BIME ANALYTICS;http://www.bimeanalytics.com/;04 67 41 60 64;[]
BON-PRIVE;http://www.les-deals.com/bon-prive/;None;['contact@bon-prive.com', 'contact@bon-prive.com']
BRANDS ON AIR;http://www.brandsonair.com/;None;[]
DILITRUST;http://www.dilitrust.com/;01 42 91 92 30;[]
ELTEG;http://elteg2.sopixi.fr/;None;[]
J'AIME ATTENDRE;http://www.jaimeattendre.com/;None;[]
MOTWIN;http://www.motwin.com/;None;[]
QUOI.INFO;http://quoi.info/;None;[]
TRIPATTITUDE;http://news.tripattitude.com/;01 77 62 53 70;['contact@tripattitude.com']
YOUSEEMII;http://www.youseemii.fr/;None;[]
MYWITTYGAMES;https://www.youtube.com/watch?v=Pd82zMdbAVE;None;[]
ALL IN WEB;http://www.all-in-web.fr/;01 41 25 75 10;[]
AUTOMODEAL;http://www.automodeal.fr/;None;[]
BANKEEZ;https://www.bankeez.com/;None;[]
BEDYCASA;https://fr.bedycasa.com/;None;[]
CAVISSIMA;http://www.cavissima.com/;04 81 07 60 35;['juliette.thery@cavissima.com', 'thierry.goddet@cavissima.com', 'patrick.valibus@cavissima.com', 'juliette.thery@cavissima.com', 'thierry.goddet@cavissima.com', 'patrick.valibus@cavissima.com', 'juliette.thery@cavissima.com', 'thierry.goddet@cavissima.com', 'patrick.valibus@cavissima.com', 'thierry.goddet@cavissima.com', 'thierry.goddet@cavissima.com', 'thierry.goddet@cavissima.com', 'contact@cavissima.com', 'example@mail.com', 'example@mail.com']
DRIVY VOITURELIB;http://www.voiturelib.com/;09 77 19 74 05;['shaped_xs@2x-d3293d05c50cece99542e2845e0b59adfacd16e929d0d1a453c2f00ed4f3eae6.png', 'map_FR@2x-3fd0d20641bb5dec5f736642dc19c0c76b79f4c4852eb8db5aeeb9e9dd888485.png', 'shaped_small@2x-601a9455c0faba9d04391320a42ad9b83b620b011c48caa3aa783ba3ffdce152.png', 'medias_FR@2x-dccaf3937a61ae423a2c94b3cf5deecd0d36427d126db3f8bfbef051c0d18e3d.png']
FILEDANSTACHAMBRE;https://www.filedanstachambre.com/;None;[]
FOURMISANTE;http://www.fourmisante.com/;None;[]
GRAINE DE CADEAUX;http://forum.quechoisir.org/graine-de-cadeaux-e-vendeur-t15612.html;None;[]
JOLIEBOX;http://laboxdumois.fr/box/joliebox-decouverte-2.html;None;[]
LE NEW BLACK;http://www.lenewblack.com/;01 84 16 10 70;['contact@lenewblack.com', 'sandra@lenewblack.com', 'contact@lenewblack.com', 'contact@lenewblack.com', 'contact@lenewblack.com', 'contact@lenewblack.com']
MANABEY;http://www.marieclairemaison.com/,www-manabey-com,200371,324542.asp;None;['redactionweb@marieclairemaison.com', 'redactionweb@marieclairemaison.com', 'redactionweb@marieclairemaison.com', 'mcmredaction@gmc.tm.fr', 'mcmredaction@gmc.tm.fr', 'mcmredaction@gmc.tm.fr', 'sbonnet@gmc-connect.com', 'ldiaz@gmc-connect.com', 'ldiaz@gmc-connect.com', 'cthieulin@gmc-connect.com', 'mcabonn@gmc.tm.fr', 'mcabonn@gmc.tm.fr', 'mcabonn@gmc.tm.fr']
MEILLEURES-ENTREPRISES;https://meilleures-entreprises.com/;None;[]
MOXITY;http://www.moxity.com/;None;['contact@moxity.com', 'contact@moxity.com', 'john@doe.com', 'abus@moxity.com', 'abus@moxity.com', 'contact@moxity.com', 'contact@moxity.com', 'contact@moxity.com', 'contact@moxity.com', 'contact@moxity.com', 'contact@moxity.com']
POELEABOIS.COM;http://www.poeleabois.com/;None;[]
PRET D'UNION;http://www.pret-dunion.fr/;None;['emprunteur@pret-dunion.fr', 'assurance@pretdunion.fr', 'client@pretdunion.fr', 'client@pretdunion.fr', 'client@pretdunion.fr', 'client@pretdunion.fr', 'client@pretdunion.fr', 'client@pretdunion.fr']
RESTO IN;http://www.resto-in.fr/;None;[]
TIKI LABS;http://www.tikilabs.com/;01 83 62 08 00;[]
VESTIAIRE DE COPINES;http://fr.vestiairecollective.com/;None;[]
WEXPAY;http://www.wexpay.com/;01 46 08 01 17;['contact.wexpay@gmail.com']
WIZEE;http://wizee.fr/;None;[]
WIZBII;http://www.wizbii.com/;04 80 42 04 40;[]
SYNTHESIO;http://synthesio.com/;01 44 77 89 10;[]
BONITASOFT;http://www.bonitasoft.com/;09 54 71 95 36;[]
ADMOOVE;http://www.admoove.com/;01 73 03 89 00;['rodrigue@admoove.com']
ADVERLINE;http://www.adverline.com/;None;[]
ARAN PROD;http://www.showpack.fr/presse2/revue-de-presse/;05 17 26 80 31;['rh@showpack.fr', 'rh@showpack.fr']
AS4SCREEN;http://www.alloweb.org/annuaire-startups/startup/as4screen/;None;[]
CAMPING-AND-CO.COM;http://fr.camping-and-co.com/;None;[]
DASHLANE;https://www.dashlane.com/fr/;None;['alldevices@2x.jpg', 'alldevices@2x.jpg', 'alldevices@2x.jpg', 'logo@2x.png', 'dashboard@2x.png', 'shield_green@2x.png', 'digitalwallet@2x.png', 'logo@2x.png', 'logo@2x.png', 'logo@2x.png', 'logo@2x.png', 'logo@2x.png']
DEVISPROX;http://www.devisprox.com/;01 42 50 08 77;['commercial@devisprox.com', 'commercial@devisprox.com']
FREETOUCH;http://www.freetouch.fr/;01 53 01 00 10;[]
GOSIS;http://www.gosis.com/;None;[]
KEYADE;http://www.keyade.com/;None;['recrutement@keyade.com', 'contact@keyade.com', 'contact@keyade.com', 'contact@keyade.me', 'contact@keyade.me']
KRDS;http://www.krds.com/;01 84 17 73 82;['contact@krds.fr', 'contact@krds.fr', 'recrutement@krds.fr', 'recrutement@krds.fr', 'press@krds.com', 'press@krds.com', 'contact@krds.fr', 'contact@krds.fr', 'recrutement@krds.fr', 'recrutement@krds.fr', 'press@krds.com', 'press@krds.com']
L'USINE A DESIGN;http://www.journaldunet.com/ebusiness/commerce/l-usine-a-design.shtml;01 83 62 55 84;[]
NEWSRING;http://www.newsring.fr/;None;[]
PHARNEXT;http://www.pharnext.com/;01 41 08 73 10;[]
PRESTASHOP;https://www.prestashop.com/fr/;None;[]
SCAN & TARGET;http://www.societe.com/societe/scan-target-502128903.html;None;[]
SNOWITE;http://www.snowite.fr/;None;[]
