(GROUPE) ASTEK;http://www.groupeastek.com/;None;[]
123 VENTURE;http://www.123venture.com/;01 49 26 98 00;['adresse@courriel.com', 'adresse@courriel.com', 'adresse@courriel.com']
3AB OPTIQUE DEVELOPPEMENT;http://www.societe.com/societe/3ab-optique-developpement-488863358.html;None;[]
5 INVEST'H;http://www.societe.com/societe/5-invest-h-791325798.html;None;[]
A.V.S.P. - A VOTRE SERVICE PROPRETE;http://www.societe.com/societe/avsp-a-votre-service-proprete-503912487.html;None;[]
ABERDEEN FRANCE;http://www.aberdeen-asset.fr/;01 73 09 03 00;['alban.arribas@aberdeen-asset.com', 'alban.arribas@aberdeen-asset.com', 'alban.arribas@aberdeen-asset.com', 'ibtissem.sfaxi@aberdeen-asset.com', 'ibtissem.sfaxi@aberdeen-asset.com', 'ibtissem.sfaxi@aberdeen-asset.com', 'christine.duboys@aberdeen-asset.com', 'christine.duboys@aberdeen-asset.com', 'christine.duboys@aberdeen-asset.com', 'amelie.lindrec@aberdeen-asset.com', 'amelie.lindrec@aberdeen-asset.com', 'amelie.lindrec@aberdeen-asset.com', 'gilles.texier@aberdeen-asset.com', 'gilles.texier@aberdeen-asset.com', 'gilles.texier@aberdeen-asset.com', 'carine.tocaven@aberdeen-asset.com', 'carine.tocaven@aberdeen-asset.com', 'carine.tocaven@aberdeen-asset.com', 'cheng.zhang@aberdeen-asset.com', 'cheng.zhang@aberdeen-asset.com', 'cheng.zhang@aberdeen-asset.com', 'caroline.espinal@aberdeen-asset.com', 'caroline.espinal@aberdeen-asset.com', 'caroline.espinal@aberdeen-asset.com', 'angelina.puyo@aberdeen-asset.com', 'angelina.puyo@aberdeen-asset.com', 'angelina.puyo@aberdeen-asset.com', 'complaints@aberdeen-asset.com', 'complaints@aberdeen-asset.com']
ABN AMRO COMMERCIAL FINANCE;http://www.abnamrocomfin.com/fra/fr-fr/;01 41 49 93 93;['info@estate.nl', 'info@estate.nl', 'info@estate.nl']
ABSA HOLDING;http://www.absa.fr/groupe_absa/presentation.html;01 49 71 55 55;['infos@absa.fr', 'infos@absa.fr', 'infos@absa.fr', 'infos@absa.fr', 'cial46.absa@gmail.com']
ADC GROUPE;http://www.latelier-sas.com/;None;[]
ADECCO FRANCE;http://www.adecco.fr/;None;[]
ADELYA;http://www.adelya.net/;01 34 23 52 50;[]
ADVANCED RETAIL;http://www.advanced-retail.com/;None;[]
AEGIDE SA;http://www.aegide.fr/;01 53 65 60 60;['investir@domitys.fr', 'investir@domitys.fr', 'contact@domitys.fr', 'contact@domitys.fr', 'exemple@exemple.fr', 'contact@domitys.fr', 'contact@domitys.fr']
AEGIR;https://fr.wikipedia.org/wiki/%C3%86gir;None;[]
AEW EUROPE;http://www.aeweurope.com/fr/accueil.html;01 78 40 92 00;['enquiries@aeweurope.com', 'enquiries@aeweurope.com', 'communication@aeweurope.com', 'communication@aeweurope.com']
AGATE;https://agate.cnrs.fr/;None;[]
AGENCE FRANCAISE DE DEVELOPPEMENT;http://www.afd.fr/;01 43 41 28 02;[]
AGIR SARL;http://www.societe.com/societe/agir-sarl-399213917.html;None;[]
AGRATI SHARED SERVICES CENTER;http://www.societe.com/societe/agrati-shared-services-center-491158853.html;01 56 71 28 95;[]
AGRICA GESTION;https://www.groupagrica.com/mentions-legales/;09 63 69 66 37;[]
AKCB;http://www.societe.com/societe/akcb-519568513.html;None;[]
AKIEM;http://www.akiem.com/;None;['info@akiem.com', 'info@akiem.com', 'info@akiem.com', 'info@akiem.com']
AKKA SERVICES;https://www.akka-technologies.com/;None;['marketingakkagroup@akka.eu', 'marketingakkagroup@akka.eu', 'marketingakkagroup@akka.eu', 'marketingakkagroup@akka.eu']
AKKA TECHNOLOGIES;https://www.akka-technologies.com/;None;[]
AL MANAR CEMENT HOLDING;http://www.societe.com/societe/al-manar-cement-holdind-440241792.html;None;[]
ALAN ALLMAN ASSOCIATES;http://alan-allman.com/;None;[]
ALCEN;http://www.alcen.com/;01 40 72 55 00;[]
ALDEA INVESTISSEMENT;http://www.societe.com/analyse-financiere/aldea-investissement-524407442.html;None;[]
ALES GROUPE;http://www.alesgroupe.com/;01 42 68 25 71;[]
ALHENA PARTICIPATIONS;http://www.alhena-proprete.fr/;01 46 07 52 32;['contact@alhena-sa.com', 'contact@alhena-sa.com']
ALHENA PARTICIPATIONS;http://www.alhena-proprete.fr/;01 46 07 52 32;['contact@alhena-sa.com', 'contact@alhena-sa.com']
ALLIANCE AUTOMOTIVE GROUP;http://www.groupauto-legroupe.fr/site-Groupauto-page-2-18-Presentation-du-groupe-Equipe-dirigeante.html;None;['info@arkonet.fr', 'info@arkonet.fr', 'j.conforti@groupauto.fr', 'j.conforti@groupauto.fr', 'j.conforti@groupauto.fr', 'a.gatignol@groupauto.fr', 'a.gatignol@groupauto.fr', 'infopresse@mdscom.fr', 'infopresse@mdscom.fr', 'info@arkonet.fr', 'info@arkonet.fr', 'j.conforti@groupauto.fr', 'j.conforti@groupauto.fr', 'j.conforti@groupauto.fr', 'a.gatignol@groupauto.fr', 'a.gatignol@groupauto.fr', 'infopresse@mdscom.fr', 'infopresse@mdscom.fr', 'info@arkonet.fr', 'info@arkonet.fr']
ALLIANCE ENTREPRENDRE;http://www.allianceentreprendre.com/;01 53 64 87 50;[]
ALLIANCE HEALTHCARE GROUP FRANCE;https://www.alliance-healthcare.fr/;None;['alliancehealthcarefrance.communication@alliance-healthcare.fr', 'drh.recrutement@alliance-healthcare.fr', 'info@alliance-healthcare.fr', 'info@alliance-healthcare.fr', 'info@alliance-healthcare.f', 'info@alliance-healthcare.fr', 'noemie.mourot@agence-elan.com', 'noemie.mourot@agence-elan.com', 'info@alliance-healthcare.fr', 'info@alliance-healthcare.f', 'info@alliance-healthcare.fr', 'info@alliance-healthcare.fr', 'info@alliance-healthcare.f', 'info@alliance-healthcare.fr']
ALMA FRC;http://www.avel.com/presentation-du-groupe.html;None;[]
ALPAR;http://www.societe.com/societe/alpar-387612518.html;01 42 61 52 44;[]
ALPHA ASSOCIES CONSEIL;http://groupealpha.com/;01 56 60 20 20;[]
ALTER WAY;http://www.alterway.fr/;01 41 16 34 95;['contact@alterway.fr', 'contact@alterway.fr']
ALUMINIUM PECHINEY;http://www.riotinto.com/aluminium-83.aspx;None;['serge.messervier@riotinto.com', 'serge.messervier@riotinto.com', 'sonja.staub@riotinto.com', 'sonja.staub@riotinto.com', 'Kelly.stevenson@riotinto.com', 'Kelly.stevenson@riotinto.com', 'doris.tey@riotinto.com', 'doris.tey@riotinto.com', 'serge.messervier@riotinto.com', 'serge.messervier@riotinto.com', 'sonja.staub@riotinto.com', 'sonja.staub@riotinto.com', 'Kelly.stevenson@riotinto.com', 'Kelly.stevenson@riotinto.com', 'doris.tey@riotinto.com', 'doris.tey@riotinto.com']
AMIRAL HOLDING SAS;http://www.societe.com/societe/amiral-holding-493153175.html;None;[]
AMUNDI;https://www.amundi-ee.com/;None;[]
ANDROMEDE;https://fr.wikipedia.org/wiki/Androm%C3%A8de_(mythologie);None;[]
ANSAMBLE;http://www.ansamble.fr/;None;['siege@ansamble.fr', 'siege@ansamble.fr', 'recrutementANS@ansamble.fr']
ANTIN INFRASTRUCTURE PARTNERS;http://www.antin-ip.com/va/index.html;01 70 08 13 00;[]
APAVE;http://www.apave.com/;None;[]
APIA C.S.;http://www.apia.fr/fr/digital/;None;['contact@apia.fr', 'enseignes@apia.fr', 'contact@apia.fr', 'maintenance@apia.fr', '24contact@apia.fr', 'contact@apia.fr', 'contact@apia.fr', 'maintenance@apia.fr']
AQUALABO CONTROLE;http://www.ponsel.fr/;02 97 89 25 30;[]
ARDIAN HOLDING;https://www.ardian.com/fr;01 41 71 92 00;[]
AREVA;http://www.areva.com/;None;['press@areva.com', 'press@areva.com', 'presse@areva.com', 'presse@areva.com', 'press@areva.com', 'press@areva.com', 'presse@areva.com', 'presse@areva.com', 'actionnaires@areva.com', 'actionnaires@areva.com', 'investors@areva.com', 'investors@areva.com', 'actionnaires@areva.com', 'investors@areva.com', 'actionnaires@areva.com', 'actionnaires@areva.com', 'investors@areva.com', 'investors@areva.com', 'actionnaires@areva.com', 'investors@areva.com']
AREVA BUSINESS SUPPORT;http://www.societe.com/societe/areva-business-support-421356593.html;None;[]
ARJOWIGGINS;http://www.arjowiggins.com/;None;[]
ARROS DEVELOPPEMENT;http://www.societe.com/societe/arros-developpement-499776300.html;None;[]
ARTELIA;http://www.arteliagroup.com/;None;['artelia@arteliagroup.com', 'artelia@arteliagroup.com', 'contact@de.arteliagroup.com', 'contact@de.arteliagroup.com', 'contact@at.arteliagroup.com', 'contact@at.arteliagroup.com', 'contact@be.arteliagroup.com', 'contact@be.arteliagroup.com', 'sher@sher.be', 'sher@sher.be', 'office@jvl-c.com', 'office@jvl-c.com', 'contact@cy.arteliagroup.com', 'contact@cy.arteliagroup.com', 'contact@dk.arteliagroup.com', 'contact@dk.arteliagroup.com', 'contact@es.arteliagroup.com', 'contact@es.arteliagroup.com', 'contact@it.arteliagroup.com', 'contact@it.arteliagroup.com', 'contact@it.arteliagroup.com', 'contact@it.arteliagroup.com', 'contact@mc.arteliagroup.com', 'contact@mc.arteliagroup.com', 'contact@no.arteliagroup.com', 'contact@no.arteliagroup.com', 'contact@nl.arteliagroup.com', 'contact@nl.arteliagroup.com', 'info@pmi.internetdsl.pl', 'info@pmi.internetdsl.pl', 'contact@pl.arteliagroup.com', 'contact@pl.arteliagroup.com', 'contact@cz.arteliagroup.com', 'contact@cz.arteliagroup.com', 'contact@ro.arteliagroup.com', 'contact@ro.arteliagroup.com', 'contact@uk.arteliagroup.com', 'contact@uk.arteliagroup.com', 'contact@ru.arteliagroup.com', 'contact@ru.arteliagroup.com', 'contact@se.arteliagroup.com', 'contact@se.arteliagroup.com', 'contact@ch.arteliagroup.com', 'contact@ch.arteliagroup.com', 'contact@tr.arteliagroup.com', 'contact@tr.arteliagroup.com', 'artelia@arteliagroup.com', 'artelia@arteliagroup.com', 'individual.experts@arteliagroup.com']
ARTELIA;http://www.arteliagroup.com/;None;['individual.experts@arteliagroup.com']
ASAH LM;http://www.eolfi.com/fr/;01 40 07 95 00;['contact@eolfi.com', 'contact@eolfi.com', 'hr@eolfi.com', 'hr@eolfi.com']
ASF HOLDING;http://www.societe.com/societe/asf-holding-433636511.html;None;[]
ASTEELFLASH FRANCE;http://www.asteelflash.com/contact-us/Europe-Middle-East-Africa.aspx;None;[]
ATALIAN CLEANING;http://www.societe.com/societe/atalian-cleaning-399506641.html;None;[]
AU PRESTIGE DE NOGENT;http://www.societe.com/societe/au-prestige-de-nogent-491321949.html;01 48 73 15 87;[]
AUTODIS GROUP;http://www.groupe-autodistribution.com/;01 69 79 89 89;[]
AUXIFIP;http://fr.kompass.com/c/auxifip/fr8393722/;None;[]
AUXILIAIRE D'ENTREPRISES;http://www.societe.com/societe/auxiliaire-d-entreprises-412796328.html;01 46 87 53 13;[]
AVENTURE SCIENTIFIQUE;http://telligo.fr/;01 46 12 18 50;[]
AVRIL;http://www.avril-beaute.fr/;None;[]
AXA INVESTMENT MANAGERS;http://www.axa-im.fr/;01 44 45 70 00;['FR@axa-im.com']
AXA REAL ESTATE INVESTMENT MANAGERS;http://www.axa-realestate.com/;None;['piero.carluccio@axa-im.com', 'jocelyne.tamssom@axa-im.com', 'Charline.COUE@axa-im.com', 'AXARealEstate@fticonsulting.com', 'piero.carluccio@axa-im.com', 'Charles.DAULONDULAURENS@axa-im.com', 'Julien.CONTE@axa-im.com', 'Stephan.Ackermann@axa-im.com', 'ian.gordine@axa-im.com', 'Antoine.JOZAN@axa-im.com', 'Stephanie.ROUSSET@axa-im.com', 'piero.carluccio@axa-im.com', 'piero.carluccio@axa-im.com']
AXELTIS;http://www.axeltis.com/;None;['jeanfrancois.valentin@axeltis.com', 'jeanfrancois.valentin@axeltis.com', 'iohann.crespin@axeltis.com', 'iohann.crespin@axeltis.com', 'laure.faller@axeltis.com', 'laure.faller@axeltis.com', 'jeanfrancois.valentin@axeltis.com', 'jeanfrancois.valentin@axeltis.com', 'iohann.crespin@axeltis.com', 'iohann.crespin@axeltis.com', 'laure.faller@axeltis.com', 'laure.faller@axeltis.com']
AXIOM & CIE;http://www.axiom-ai.com/;01 44 69 43 90;[]
BABYLISS HOLDING SAS;http://www.societe.com/societe/babyliss-holding-sas-493963763.html;None;[]
BARCLAYS PATRIMOINE;https://www.barclays.fr/;None;[]
BARCLAYS PATRIMOINE;https://www.barclays.fr/;None;[]
BATISANTE FINANCES;http://www.societe.com/societe/batisante-finances-444345615.html;None;[]
BBR ROGIER;http://www.bbr-rogier.fr/;01 56 68 36 36;['clientele@bbr-rogier.fr', 'clientele@bbr-rogier.fr']
BDL CAPITAL MANAGEMENT;http://www.bdlcm.com/;01 56 90 50 90;[]
BELAMBRA HOLDING;http://www.societe.com/societe/belambra-holding-508269651.html;None;[]
BELHARA INVESTISSEMENT;http://www.societe.com/societe/belhara-investissement-524407657.html;None;[]
BERARD GROUPE;http://www.berard.eu/;01 42 26 35 53;[]
BERTRAND HOLDING;http://www.groupe-bertrand.com/;01 53 45 83 83;[]
BFORBANK;https://www.bforbank.com/;None;['mediateur@fbf.fr', 'mediateur@fbf.fr']
BGA INVESTISSEMENTS;http://www.societe.com/societe/bga-investissements-799285135.html;None;[]
BGME FINANCES;http://www.societe.com/societe/b-g-m-e-finances-384743902.html;None;[]
BIO-RAD FRANCE HOLDING;http://www.bio-rad.com/;01 47 95 60 00;[]
BLACK CODE;http://www.yoko-paris.fr/;01 40 98 03 40;[]
BMW FINANCE;http://www.bmw.fr/fr/topics/solutions-de-financement.html;None;['contact.finance@bmw.fr', 'contact.finance@bmw.fr', 'contact.finance@bmw.fr']
BNP PARIBAS ARBITRAGE;https://fr.wikipedia.org/wiki/BNP_Paribas_Arbitrage;None;[]
BNP PARIBAS DEALING SERVICES;http://securities.bnpparibas.com/fr/solutions/outsourcing-solutions/dealing-services.html;0 820 82 00 01;['matthieu.chardot@bnpparibas.com', 'bruce.b.graham@uk.bnpparibas.com', 'francis.so@asia.bnpparibas.com', 'francis.so@asia.bnpparibas.com']
BNP PARIBAS FACTOR;https://factor.bnpparibas.com/;None;[]
BNP PARIBAS FACTOR;https://factor.bnpparibas.com/;None;[]
BNP PARIBAS FACTOR;https://factor.bnpparibas.com/;None;[]
BNP PARIBAS FUND SERVICES FRANCE;http://www.bnpparibas.com/certifications/bnp-paribas-fund-services;None;[]
BNP PARIBAS INVESTMENT PARTNERS;http://www.bnpparibas-ip.fr/;01 56 88 08 63;['partenaires@bnpparibas.com', 'mario.petrachi@bnpparibas.com', 'diane.chemla@bnpparibas.com', 'vania.anguelova@camgestion.fr', 'laurent.l.didier@bnpparibas.com', 'marina.padelo@bnpparibas.com', 'nadia.cherif@bnpparibas.com', 'olivier.raque@bnpparibas.com', 'philippe.a.joly@bnpparibas.com', 'brigitte.diot@bnpparibas.com']
BOA-FRANCE;http://www.boafrance.com/;01 42 96 11 40;[]
BODIN FRERES;http://www.societe.com/societe/bodin-freres-411532047.html;09 61 52 53 31;[]
BOLLORE AFRICA LOGISTICS;http://www.bollore-africa-logistics.com/;None;[]
BONNA SABLA;http://www.bonnasabla.com/;None;[]
BOUCHERON HOLDING;http://www.boucheron.com/;01 42 61 58 16;[]
BOUIGUE DEVELOPPEMENT;http://www.societe.com/societe/bouigue-developpement-429337637.html;01 42 81 02 94;[]
BPCE INTERNATIONAL ET OUTRE-MER;http://www.groupebpce.fr/Metiers-implantations/Marques-Implantations/Panorama/BPCE-International;None;[]
BPCE SERVICES;http://www.groupebpce.fr/Metiers-implantations/Metiers-expertises/Banque-de-financement-de-gestion-d-assurance-et-de-services-financiers;None;[]
BPIFRANCE FINANCEMENT;http://www.bpifrance.fr/Bpifrance/Nos-metiers/Financement;01 42 22 76 28;[]
BPIFRANCE FINANCEMENT;http://www.bpifrance.fr/Bpifrance/Nos-metiers/Financement;01 42 22 76 28;[]
BPIFRANCE FINANCEMENT;http://www.bpifrance.fr/Bpifrance/Nos-metiers/Financement;01 42 22 76 28;[]
BPIFRANCE FINANCEMENT;http://www.bpifrance.fr/Bpifrance/Nos-metiers/Financement;01 42 22 76 28;[]
BPIFRANCE INVESTISSEMENT;http://www.bpifrance.fr/Vivez-Bpifrance/Actualites/Creation-de-Bpifrance-Investissement-une-societe-de-gestion-unique;None;[]
BRYAN GARNIER AND CO LIMITED;http://www.bryangarnier.com/;01 56 68 75 00;[]
C.P.C. PACKAGING;http://www.cpcpackaging.com/fr/accueil.html;None;[]
C2C;http://www.c2cmusic.fr/;None;['hello@wearemanyfold.com', 'info@onandon-records.com']
CA PAIEMENT;https://www.ca-cardsandpayments.com/;01 43 23 34 56;[]
CABOSSE & ASSOCIES;http://www.societe.com/societe/cabosse-associes-538825761.html;01 48 05 82 86;[]
CACEIS;http://www.caceis.fr/;None;[]
CAFE GEORGE V;https://www.tripadvisor.fr/Restaurant_Review-g187147-d1173115-Reviews-George_V_Cafe-Paris_Ile_de_France.html;None;['trip_logo_footer@2x.png']
